"CellType" "Acurrent" "TailCurrent" "Leak" "Ccell" "Raccess" "V2h" "kh" "Imax"
"172" "A" "no" "no" -24.51 4.009 15.44 -89.86 19.025 -364.75
"173" "A" "no" "no" -20.52 4.168 16.71 -31.717 9.668 -304.688
"174" "A" "no" "no" -5.912 4.595 32.07 -43.038 9.963 -272.75
"175" "A" "no" "no" -7.921 4.471 18.8 -37.067 8.137 -416.063
"176" "A" "no" "no" -16.15 4.619 14.59 -39.918 10.063 -327.375
"177" "A" "no" "no" -4.826 3.764 16.23 -30.251 8.138 -266.063
"178" "A" "no" "no" -11.32 5.534 22.7 -46.962 9.439 -347.75
"179" "A" "no" "no" -7.481 4.195 21.43 -44.211 7.596 -313.813
"180" "A" "no" "no" -2.657 3.563 18.51 -33.849 5.836 -368.625
"181" "A" "no" "no" -20.62 4.903 15 -53.13 16.675 -177.88
"182" "A" "no" "no" -8.54 3.102 15.94 -27.726 6.037 -570.25
"183" "A" "no" "no" -11.99 3.746 14.13 -27.535 7.973 -515.063
"184" "A" "no" "no" -6.265 5.406 19.28 -28.919 7.903 -748.438
"185" "A" "no" "no" -7.172 2.845 34.27 -31.76 7.547 -365.375
"186" "A" "no" "no" -21.73 9.433 18.87 -87.146 14.154 -1234.6
"187" "A" "no" "no" -4.576 4.154 15.29 -39.615 9.16 -533.375
"188" "A" "no" "no" -57.9 6.336 23.69 -44.886 8.15 -579.188
"189" "A" "no" "no" -12.34 3.699 24.57 -31.999 8.115 -445
"190" "A" "no" "no" -9.426 4.515 26.54 -35.774 8.818 -593.063
"191" "A" "no" "no" -8.496 4.471 17.59 -35.682 8.782 -409.313
"192" "A" "no" "no" -12.89 5.342 26.16 -43.455 9.589 -877.5
"193" "A" "no" "no" -18.78 4.596 16.17 -34.722 8.566 -662.938
"194" "A" "no" "no" -26 4.487 17.85 -39.494 11.701 -1034.4
"195" "A" "no" "no" -0.8186 3.451 28.97 -30.34 11.64 -384.844
"196" "A" "no" "no" -15.45 3.553 23.65 -29.188 8.149 -187.031
"197" "A" "no" "no" 2.824 2.957 12.89 -24.748 4.926 -163.906
"198" "A" "no" "no" 1.706 4.792 20.51 -29.342 8.321 -535
"199" "A" "no" "no" 0.298 3.958 13.4 -29.917 5.401 -967.344
"200" "A" "no" "no" -13.69 3.037 13.66 -28.896 6.596 -496.406
